Business_ID,Cuisine
SyvC0s3y0ZrtnLbwnvw7tw,vietnamese
F_xfvWtka3ZHXxH94AFNrA,dessert
oJZq1JmKalXXjqWRKfIjwA,japanese
ACduxcM6wdaJPVHKy9GHbQ,pizza
wLzJbddDixAEZrF7VT6_hw,italian
H8qcX7MNNnC1bqE0LnIhKg,pizza
SaYTVG7wHCMDBofHCgXPaA,brunch
xscOfj1dMkEKvhrRruLpIg,vietnamese
02sUerL13Wt4Ii2-kDzlow,pizza
KFk_iaaKOG9LYZT06YzGJw,healthy
YS21bp9Wp715X75r7eTzxw,mexican
3k9_mItrIx7xQfLbE5dplw,seafood
Zei83kZkMVd7jv2-eQSV5w,dessert
Zjj9gxL2VJg2drQZ_CouZQ,korean
CjahRm-rdwS8IqGR-M0Dyg,italian
1c4PdEFsp-p9pGZKRylMLg,healthy
pjoUbRK5kKkXKHuAsvDkjQ,brunch
y9y6V8va7yt_TUnoO68z0w,pizza
91QxUyRxUq6vibQhyWzVkQ,korean
RnQjRZ9MJrBN9SKiIv3i-A,thai
350F7vZ8gWh3ojxEWbxA3Q,american
3DNtS1_3gobrYQBAwDx4DA,mexican
7VciT24JTq32X7BNLO7EJQ,chinese
fAPkN79fe7Gjq7A6fj6s9Q,brunch
qy7CaBk9g519-iZGjrki1g,vietnamese
ry7XCoXXxS0DxRmzZLFybw,mexican
gWwGJj3MvU-WGNqrSqLecg,chinese
iSD5QHURPylVUNWJjv50Pg,pizza
_NS1hEZ0LPwaTG4R6jxgnw,dessert
GCAQmtRdNhqVit5KGJ46Qg,brunch
D9Tx6YmW5EB9KZO0_EcYxw,dessert
OQY_QgAYZhuNBsza2sl4YQ,seafood
vN1CYP0WNSPfdmZAstfdOg,mexican
EVZeqLPpfXrygmgamjD5_w,japanese
AlfkFxfD-cUBGA3Eq3j0Uw,indian
Q10FeFs1mtNchv1NbNcsLg,mexican
hWkbadE0u-Eiqg9SAm176Q,chinese
VzdToJAHuLY07TlXZTdIwA,mexican
YSflX6shqcP3zYno0Zz75Q,brunch
FdCQmAHzhbHuaP5lcsYs6w,healthy
SSCbDzX4e11kpojBWeFWfQ,pizza
dDXtga5Kgo5B1twdezcZJA,vietnamese
wkddrs3C4l5muL1rQuJ2Mw,pizza
wo7-TKh4B37RTBjPNtkp7w,chinese
AJjQ9qMUqYj4_tWZ_m1TRw,seafood
K1h1-dbZLgfC4vZSeJfDMw,japanese
4UxmxAqehEIh7fYrzUEA7A,mexican
VVlHJ6_sJbRAodV5lCzBnA,japanese
Gb79W0yuQfJvu0V0SDC0Ag,japanese
YWlQk08zA1kIdFbHfGJKkg,healthy
tiSw-6DIm3-mMORyEIOVyg,seafood
M-AcAh1C_eQfhzGk6ZmOSQ,brunch
c1HgKFOT4Cc7TqWQD5mQBQ,chinese
ItocvsIyniVxMARBkHZaoA,indian
1A2-oW9IRHSzVzo-iouI3g,pizza
Pikhqmsy370W2BXHnNfP0g,mexican
1rjxNwYpg0orCcZi0ku9Nw,japanese
S9S-uR_AvwZnUM3lfBTIwQ,pizza
s6NjuiNtX0HU3viSNAm6ug,healthy
A2DV-AQIXRYUMu5Ak5mjxg,pizza
0xS2Jj-RZuFQKgxEWuVxzA,italian
8UwRTdW4OtSEI2rJ_p1zGg,healthy
trkn76h8vQeB8kCUgHJyuw,indian
GlTdgd8780RNXLvz8bTmFg,brunch
Lbo0zh_25-Qi6h4Dlaf2qg,pizza
xrnk8mgoV7up6fauVmugpw,japanese
kNOr6_g6QfBHdhf89j3g5w,chinese
t6TzNUUY2ez6s-GYOLs4VA,healthy
HUlbrPvAr6sXuBfp5z1MWA,dessert
jB5fXguSmlX65asSB3KIfQ,mexican
n20BmzZ-KGd0RCKcPGRv1A,thai
zORhkHz42zsssFB6bTW2Fg,dessert
15R8rx9SHKNVYBwgAuTyGA,japanese
rXONKg1X1CViqdi1hS9XzQ,healthy
4Objcs7HXSGuzpb0SOa-Jw,american
0rBGHaXh9On9qankZZU0QQ,pizza
_MdNLeBAcwv5Nb2yArZFvg,chinese
H87c1gVVCKneyI0LxaDFxQ,chinese
rL2wuxtLAQWPDZ0IbOHjxA,thai
UF9F0A4e7AJHzNPG5zrHUQ,brunch
0Q3xCYWK2N-wJfXjLa9dFg,american
azGPyK3p6HDmvQGX0AyDtg,korean
5Ota_iMwlPLPrap-KfQrgw,mexican
JDBgpyY-7KdRcBlNifVJSw,dessert
aGhHbqeQPiTwii6KQlnxYw,seafood
aczqK-esIyqhyk7QLqcc1A,indian
DRitJoNGTkHXZvH_YpLIAw,seafood
fanlKZzN-fI9LywqQD6EHg,american
_c0MxccsmIBZcGLJpb4nSA,thai
3eBV6HwWcdHzJW3sUH-2hw,japanese
a0IET3_yCFcO36OqGSsisg,dessert
TGe5KcS2NuAL0z13Lnm_dw,korean
6ZZUTGtH25tLN1SiM029ig,thai
vnf1WSV7dTmOeOkIJ46hiw,indian
aPn2_EtjfHduXEmEBNxuFA,pizza
JvV8sTgUX6abRQPzb3hLgg,indian
iPc-zPgcpgeSo76xl5Jbpw,korean
HICimyBWKDwrXLnBuDZOZw,chinese
UZViRVpxNZvOM5KarmbT1g,dessert
igcUHNvsKc-s-RtvUmkg2w,korean
L9N9O2u_M9Daby9_myK4Yg,chinese
1HPdyg0OLRkjHeixVmbu0Q,healthy
4gbxHH_yUr8cd6StJw0EwA,healthy
pySuU21NBcNpM0mr3_bggg,indian
ojL777xhCtDrOrH1ThIBgg,pizza
lNP1km2kaEtlsBw2VNHHhQ,american
5jPRymIzVI3qdbUKO4mHiQ,japanese
qByYLfBKtNUIAui0eu-fNQ,seafood
nBoOm-TAhRvbcDkHfKOwGg,indian
rvI-gvqsWy_HmunwUsjmGg,thai
K_s7EXV9Ly5jlxyNZ39QDg,indian
bOHWY14f1u8rR1t2ggmbYw,brunch
eYo9t3yJjSbjaWrwpApkXA,healthy
seIfCn-L6t2SQd1Xb_fcLA,pizza
o__rNMK8xCSPKPVe6yIlxQ,healthy
9v-JAffC6qw8Xp67BICByQ,chinese
GLf8_rOnkszkGmPAiMzO9Q,brunch
gLkrR9ZDPKfUGv-fYsEr3g,thai
7UJRw4Klt5yfE7q9vznEHA,indian
YnDs59_dEQ61TdCD4fdyEw,healthy
7bD22UAtH56ikWYslOSIQg,brunch
uwPfP8Eac1skrm0FG6K-UA,dessert
jlH66jTIZUwX5MT1D-lhvg,indian
uJJGpuvwCComknuHj8AKbQ,korean
6lUAvciN0rwYUvhssqw57g,dessert
FHLamoKPxQVzuoevQZSpFw,indian
KS0aRZlR9j4IwlsFo1_VkQ,korean
vyKBwzRdNX4yiJDIFv37iw,mexican
rxytmnPRyMi7XPknmnJAoA,healthy
